number,name,symbol,name_symbol,appearance,atomic_number,group_block,period,element_category,atomic_weight,electron_configuration,per_shell,color,phase,melting_point,,boiling_point,density_at_stp,when_liquid_at_mp,when_liquid_at_bp,triple_point,critical_point,ionization_energies,covalent_radius,van_der_waals_radius
20,Calcium,Ca,"calcium, Ca","dull gray, silver; with a pale yellow tint",20,"group 2 (alkaline earth metals), s-block",4,alkaline earth metal,40.0784,[Ar] 4s2,2,,solid,1115,,1757,,1.378,,,,"1st: 589.8 kJ/mol, 2nd: 1145.4 kJ/mol, 3rd: 4912.4 kJ/mol, (more)",176±10 pm,231
21,Scandium,Sc,"scandium, Sc",silvery white,21,"group 3, d-block",4,transition metal,44.9559085,[Ar] 3d1 4s2,2,,solid,1814,,3109,,2.8,,,,"1st: 633.1 kJ/mol, 2nd: 1235.0 kJ/mol, 3rd: 2388.6 kJ/mol, (more)",170±7 pm,211
22,Titanium,Ti,"titanium, Ti",silvery grey-white metallic,22,"group 4, d-block",4,transition metal,47.8671,[Ar] 3d2 4s2,2,,solid,1941,,3560,,4.11,,,,"1st: 658.8 kJ/mol, 2nd: 1309.8 kJ/mol, 3rd: 2652.5 kJ/mol, (more)",160±8 pm,
23,Vanadium,V,"vanadium, V",blue-silver-grey metal,23,"group 5, d-block",4,transition metal,50.94151,[Ar] 3d3 4s2,2,,solid,2183,,3680,,5.5,,,,"1st: 650.9 kJ/mol, 2nd: 1414 kJ/mol, 3rd: 2830 kJ/mol, (more)",153±8 pm,
24,Chromium,Cr,"chromium, Cr",silvery metallic,24,"group 6, d-block",4,transition metal,51.99616,[Ar] 3d5 4s1,2,,solid,2180,,2944,,6.3,,,,"1st: 652.9 kJ/mol, 2nd: 1590.6 kJ/mol, 3rd: 2987 kJ/mol, (more)",139±5 pm,
25,Manganese,Mn,"manganese, Mn",silvery metallic,25,"group 7, d-block",4,transition metal,54.9380443,[Ar] 3d5 4s2,2,,solid,1519,,2334,,5.95,,,,"1st: 717.3 kJ/mol, 2nd: 1509.0 kJ/mol, 3rd: 3248 kJ/mol, (more)","Low spin: 139±5 pm, High spin: 161±8 pm",
26,Iron,Fe,"iron, Fe",lustrous metallic with a grayish tinge,26,"group 8, d-block",4,transition metal,55.8452,[Ar] 3d6 4s2,2,,solid,1811,,3134,,6.98,,,,"1st: 762.5 kJ/mol, 2nd: 1561.9 kJ/mol, 3rd: 2957 kJ/mol, (more)","Low spin: 132±3 pm, High spin: 152±6 pm",
27,Cobalt,Co,"cobalt, Co",hard lustrous bluish gray metal,27,"group 9, d-block",4,transition metal,58.9331944,[Ar] 3d7 4s2,2,metallic gray,solid,1768,,3200,,8.86,,,,"1st: 760.4 kJ/mol, 2nd: 1648 kJ/mol, 3rd: 3232 kJ/mol, (more)","Low spin: 126±3 pm, High spin: 150±7 pm",
28,Nickel,Ni,"nickel, Ni","lustrous, metallic, and silver with a gold tinge",28,"group 10, d-block",4,transition metal,58.69344,"[Ar] 3d8 4s2 or, [Ar] 3d9 4s1",2,,solid,1728,,3003,,7.81,,,,"1st: 737.1 kJ/mol, 2nd: 1753.0 kJ/mol, 3rd: 3395 kJ/mol, (more)",124±4 pm,163
29,Copper,Cu,"copper, Cu",red-orange metallic luster,29,"group 11, d-block",4,transition metal,63.5463,[Ar] 3d10 4s1,2,,solid,1357.77,,2835,,8.02,,,,"1st: 745.5 kJ/mol, 2nd: 1957.9 kJ/mol, 3rd: 3555 kJ/mol, (more)",132±4 pm,140
30,Zinc,Zn,"zinc, Zn",silver-gray,30,"group 12, d-block",4,"transition metal, alternatively considered a post-transition metal",65.382,[Ar] 3d10 4s2,2,,solid,692.68,,1180,,6.57,,,,"1st: 906.4 kJ/mol, 2nd: 1733.3 kJ/mol, 3rd: 3833 kJ/mol, (more)",122±4 pm,139
31,Gallium,Ga,"gallium, Ga",silvery blue,31,"group 13, p-block",4,post-transition metal,69.7231,[Ar] 3d10 4s2 4p1,2,,solid,302.9146,,2673,,6.095,,,,"1st: 578.8 kJ/mol, 2nd: 1979.3 kJ/mol, 3rd: 2963 kJ/mol, (more)",122±3 pm,187
32,Germanium,Ge,"germanium, Ge",grayish-white,32,"group 14 (carbon group), p-block",4,metalloid,72.6308,[Ar] 3d10 4s2 4p2,2,,solid,1211.4,,3106,,5.6,,,,"1st: 762 kJ/mol, 2nd: 1537.5 kJ/mol, 3rd: 3302.1 kJ/mol",122,211
33,Arsenic,As,"arsenic, As",metallic grey,33,"group 15 (pnictogens), p-block",4,metalloid,74.9215956,[Ar] 3d10 4s2 4p3,2,,solid,,,,,5.22,,1090,1673,"1st: 947.0 kJ/mol, 2nd: 1798 kJ/mol, 3rd: 2735 kJ/mol, (more)",119±4 pm,185
34,Selenium,Se,"selenium, Se","black, red, and gray (not pictured) allotropes",34,"group 16 (chalcogens), p-block",4,"polyatomic nonmetal, sometimes considered a metalloid",78.9718,[Ar] 3d10 4s2 4p4,2,,solid,494,,958,,3.99,,,1766,"1st: 941.0 kJ/mol, 2nd: 2045 kJ/mol, 3rd: 2973.7 kJ/mol",120±4 pm,190
35,Bromine,Br,"bromine, Br",reddish-brown,35,"group 17 (halogens), p-block",4,diatomic nonmetal,79.904,[Ar] 3d10 4s2 4p5,2,,liquid,265.8,,332,,,,265.9,588,,120±3 pm,185
36,Krypton,Kr,"krypton, Kr","colorless gas, exhibiting a whitish glow in a high electric field",36,"group 18 (noble gases), p-block",4,noble gas,83.7982,[Ar] 3d10 4s2 4p6,2,,gas,115.78,,119.93,3.749,,2.413,115.775,209.48,"1st: 1350.8 kJ/mol, 2nd: 2350.4 kJ/mol, 3rd: 3565 kJ/mol",116±4 pm,202
37,Rubidium,Rb,"rubidium, Rb",grey white,37,"group 1 (alkali metals), s-block",5,alkali metal,85.46783,[Kr] 5s1,2,,solid,312.45,,961,,1.46,,312.41,2093,"1st: 403 kJ/mol, 2nd: 2632.1 kJ/mol, 3rd: 3859.4 kJ/mol",220±9 pm,303
38,Strontium,Sr,"strontium, Sr",silvery white metallic; with a pale yellow tint,38,"group 2 (alkaline earth metals), s-block",5,alkaline earth metal,87.621,[Kr] 5s2,2,,solid,1050,,1650,,2.375,,,,"1st: 549.5 kJ/mol, 2nd: 1064.2 kJ/mol, 3rd: 4138 kJ/mol",195±10 pm,249
39,Yttrium,Y,"yttrium, Y",silvery white,39,"group 3, d-block",5,transition metal,88.905842,[Kr] 4d1 5s2,2,,solid,1799,,3203,,4.24,,,,"1st: 600 kJ/mol, 2nd: 1180 kJ/mol, 3rd: 1980 kJ/mol",190±7 pm,
40,Zirconium,Zr,"zirconium, Zr",silvery white,40,"group 4, d-block",5,transition metal,91.2242,[Kr] 4d2 5s2,2,,solid,2128,,4650,,5.8,,,,"1st: 640.1 kJ/mol, 2nd: 1270 kJ/mol, 3rd: 2218 kJ/mol",175±7 pm,
41,Niobium,Nb,"niobium, Nb","gray metallic, bluish when oxidized",41,"group 5, d-block",5,transition metal,92.906372,[Kr] 4d4 5s1,2,,solid,2750,,5017,,,,,,"1st: 652.1 kJ/mol, 2nd: 1380 kJ/mol, 3rd: 2416 kJ/mol",164±6 pm,
42,Molybdenum,Mo,"molybdenum, Mo",gray metallic,42,"group 6, d-block",5,transition metal,95.951,[Kr] 4d5 5s1,2,,solid,2896,,4912,,9.33,,,,"1st: 684.3 kJ/mol, 2nd: 1560 kJ/mol, 3rd: 2618 kJ/mol",154±5 pm,
43,Technetium,Tc,"technetium, Tc",shiny gray metal,43,"group 7, d-block",5,transition metal,98,[Kr] 4d5 5s2,2,,solid,2430,,4538,,,,,,"1st: 702 kJ/mol, 2nd: 1470 kJ/mol, 3rd: 2850 kJ/mol",147±7 pm,
44,Ruthenium,Ru,"ruthenium, Ru",silvery white metallic,44,"group 8, d-block",5,transition metal,101.072,[Kr] 4d7 5s1,2,,,2607,,4423,,10.65,,,,"1st: 710.2 kJ/mol, 2nd: 1620 kJ/mol, 3rd: 2747 kJ/mol",146±7 pm,
45,Rhodium,Rh,"rhodium, Rh",silvery white metallic,45,"group 9, d-block",5,transition metal,102.905502,[Kr] 4d8 5s1,2,,solid,2237,,3968,,10.7,,,,"1st: 719.7 kJ/mol, 2nd: 1740 kJ/mol, 3rd: 2997 kJ/mol",142±7 pm,
46,Palladium,Pd,"palladium, Pd",silvery white,46,"group 10, d-block",5,transition metal,106.421,[Kr] 4d10,2,,solid,1828.05,,3236,,10.38,,,,"1st: 804.4 kJ/mol, 2nd: 1870 kJ/mol, 3rd: 3177 kJ/mol",139±6 pm,163
47,Silver,Ag,"silver, Ag",lustrous white metal,47,"group 11, d-block",5,transition metal,107.86822,[Kr] 4d10 5s1,2,,solid,1234.93,,2435,,9.32,,,,"1st: 731.0 kJ/mol, 2nd: 2070 kJ/mol, 3rd: 3361 kJ/mol",145±5 pm,172
48,Cadmium,Cd,"cadmium, Cd",silvery bluish-gray metallic,48,"group 12, d-block",5,"transition metal, alternatively considered a post-transition metal",112.4144,[Kr] 4d10 5s2,2,,solid,594.22,,1040,,7.996,,,,"1st: 867.8 kJ/mol, 2nd: 1631.4 kJ/mol, 3rd: 3616 kJ/mol",144±9 pm,158
49,Indium,In,"indium, In",silvery lustrous gray,49,"group 13, p-block",5,post-transition metal,114.8181,[Kr] 4d10 5s2 5p1,2,,solid,429.7485,,2345,,7.02,,429.7445,,"1st: 558.3 kJ/mol, 2nd: 1820.7 kJ/mol, 3rd: 2704 kJ/mol",142±5 pm,193
50,Tin,Sn,"tin, Sn","silvery-white (beta, ?) or gray (alpha, ?)",50,"group 14 (carbon group), p-block",5,post-transition metal,118.7107,[Kr] 4d10 5s2 5p2,2,,solid,505.08,,2875,,6.99,,,,"1st: 708.6 kJ/mol, 2nd: 1411.8 kJ/mol, 3rd: 2943.0 kJ/mol",139±4 pm,217
51,Antimony,Sb,"antimony, Sb",silvery lustrous gray,51,"group 15 (pnictogens), p-block",5,metalloid,121.7601,[Kr] 4d10 5s2 5p3,2,,solid,903.78,,1908,,6.53,,,,"1st: 834 kJ/mol, 2nd: 1594.9 kJ/mol, 3rd: 2440 kJ/mol, (more)",139±5 pm,206
52,Tellurium,Te,"tellurium, Te","silvery lustrous gray (crystalline),, brown-black powder (amorphous)",52,"group 16 (chalcogens), p-block",5,metalloid,127.603,[Kr] 4d10 5s2 5p4,2,,solid,722.66,,1261,,5.7,,,,"1st: 869.3 kJ/mol, 2nd: 1790 kJ/mol, 3rd: 2698 kJ/mol",138±4 pm,206
53,Iodine,I,"iodine, I","lustrous metallic gray, violet as a gas",53,"group 17 (halogens), p-block",5,diatomic nonmetal,126.904473,[Kr] 4d10 5s2 5p5,2,,solid,386.85,,457.4,,,,386.65,819,,139±3 pm,198
54,Xenon,Xe,"xenon, Xe","colorless gas, exhibiting a blue glow when placed in a high voltage electric field",54,"group 18 (noble gases), p-block",5,noble gas,131.2936,[Kr] 4d10 5s2 5p6,2,,gas,161.4,,165.051,5.894,,2.942,161.405,289.733,"1st: 1170.4 kJ/mol, 2nd: 2046.4 kJ/mol, 3rd: 3099.4 kJ/mol",140±9 pm,216
55,Cesium,Cs,"caesium, Cs",pale gold,55,"group 1 (alkali metals), s-block",6,alkali metal,132.905452,[Xe] 6s1,2,,solid,301.7,,944,,1.843,,,1938,"1st: 375.7 kJ/mol, 2nd: 2234.3 kJ/mol, 3rd: 3400 kJ/mol",244±11 pm,343
56,Barium,Ba,"barium, Ba",silvery gray; with a pale yellow tint,56,"group 2 (alkaline earth metals), s-block",6,alkaline earth metals,137.3277,[Xe] 6s2,2,,solid,1000,,2118,,3.338,,,,"1st: 502.9 kJ/mol, 2nd: 965.2 kJ/mol, 3rd: 3600 kJ/mol",215±11 pm,268
57,Lanthanum,La,"lanthanum, La",silvery white,57,"group n/a, f-block",6,"lanthanide, sometimes considered a transition metal",138.905477,[Xe] 5d1 6s2,2,,solid,1193,,3737,,5.94,,,,"1st: 538.1 kJ/mol, 2nd: 1067 kJ/mol, 3rd: 1850.3 kJ/mol",207±8 pm,
58,Cerium,Ce,"cerium, Ce",silvery white,58,"group n/a, f-block",6,lanthanide,140.1161,[Xe] 4f1 5d1 6s2,2,,solid,1068,,3716,,6.55,,,,,204±9 pm,
59,Praseodymium,Pr,"praseodymium, Pr",grayish white,59,"group n/a, f-block",6,lanthanide,140.907662,[Xe] 4f3 6s2,2,,solid,1208,,3403,,6.5,,,,"1st: 527 kJ/mol, 2nd: 1020 kJ/mol, 3rd: 2086 kJ/mol",203±7 pm,
60,Neodymium,Nd,"neodymium, Nd",silvery white,60,"group n/a, f-block",6,lanthanide,144.2423,[Xe] 4f4 6s2,2,,solid,1297,,3347,,6.89,,,,"1st: 533.1 kJ/mol, 2nd: 1040 kJ/mol, 3rd: 2130 kJ/mol",201±6 pm,
61,Promethium,Pm,"promethium, Pm",metallic,61,"group n/a, f-block",6,lanthanide,145,[Xe] 4f5 6s2,2,,solid,1315,,3273,,,,,,"1st: 540 kJ/mol, 2nd: 1050 kJ/mol, 3rd: 2150 kJ/mol",199,
62,Samarium,Sm,"samarium, Sm",silvery white,62,"group n/a, f-block",6,lanthanide,150.362,[Xe] 4f6 6s2,2,,solid,1345,,2173,,7.16,,,,"1st: 544.5 kJ/mol, 2nd: 1070 kJ/mol, 3rd: 2260 kJ/mol",198±8 pm,
63,Europium,Eu,"europium, Eu","silvery white, with a pale yellow tint; but rarely seen without oxide discoloration",63,"group n/a, f-block",6,lanthanide,151.9641,[Xe] 4f7 6s2,2,,solid,1099,,1802,,5.13,,,,"1st: 547.1 kJ/mol, 2nd: 1085 kJ/mol, 3rd: 2404 kJ/mol",198±6 pm,
64,Gadolinium,Gd,"gadolinium, Gd",silvery white,64,"group n/a, f-block",6,lanthanide,157.253,[Xe] 4f7 5d1 6s2,2,,solid,1585,,3273,,7.4,,,,"1st: 593.4 kJ/mol, 2nd: 1170 kJ/mol, 3rd: 1990 kJ/mol",196±6 pm,
65,Terbium,Tb,"terbium, Tb",silvery white,65,"group n/a, f-block",6,lanthanide,158.925352,[Xe] 4f9 6s2,2,,solid,1629,,3396,,7.65,,,,"1st: 565.8 kJ/mol, 2nd: 1110 kJ/mol, 3rd: 2114 kJ/mol",194±5 pm,
66,Dysprosium,Dy,"dysprosium, Dy",silvery white,66,"group n/a, f-block",6,lanthanide,162.5001,[Xe] 4f10 6s2,2,,solid,1680,,2840,,8.37,,,,"1st: 573.0 kJ/mol, 2nd: 1130 kJ/mol, 3rd: 2200 kJ/mol",192±7 pm,
67,Holmium,Ho,"holmium, Ho",silvery white,67,"group n/a, f-block",6,lanthanide,164.930332,[Xe] 4f11 6s2,2,,solid,1734,,2873,,8.34,,,,"1st: 581.0 kJ/mol, 2nd: 1140 kJ/mol, 3rd: 2204 kJ/mol",192±7 pm,
68,Erbium,Er,"erbium, Er",silvery white,68,"group n/a, f-block",6,lanthanide,167.2593,[Xe] 4f12 6s2,2,,solid,1802,,3141,,8.86,,,,"1st: 589.3 kJ/mol, 2nd: 1150 kJ/mol, 3rd: 2194 kJ/mol",189±6 pm,
69,Thulium,Tm,"thulium, Tm",silvery gray,69,"group n/a, f-block",6,lanthanide,168.934222,[Xe] 4f13 6s2,2,,solid,1818,,2223,,8.56,,,,"1st: 596.7 kJ/mol, 2nd: 1160 kJ/mol, 3rd: 2285 kJ/mol",190±10 pm,
70,Ytterbium,Yb,"ytterbium, Yb",silvery white; with a pale yellow tint,70,"group n/a, f-block",6,lanthanide,173.0451,[Xe] 4f14 6s2,2,,solid,1097,,1469,,6.21,,,,"1st: 603.4 kJ/mol, 2nd: 1174.8 kJ/mol, 3rd: 2417 kJ/mol",187±8 pm,
71,Lutetium,Lu,"lutetium, Lu",silvery white,71,"group n/a, d-block",6,"lanthanide, sometimes considered a transition metal",174.96681,[Xe] 6s2 4f14 5d1,2,,solid,1925,,3675,,9.3,,,,"1st: 523.5 kJ/mol, 2nd: 1340 kJ/mol, 3rd: 2022.3 kJ/mol",187±8 pm,
72,Hafnium,Hf,"hafnium, Hf",steel gray,72,"group 4, d-block",6,transition metal,178.492,[Xe] 4f14 5d2 6s2,2,,solid,2506,,4876,,12,,,,"1st: 658.5 kJ/mol, 2nd: 1440 kJ/mol, 3rd: 2250 kJ/mol",175±10 pm,
73,Tantalum,Ta,"tantalum, Ta",gray blue,73,"group 5, d-block",6,transition metal,180.947882,[Xe] 4f14 5d3 6s2,2,,solid,3290,,5731,,15,,,,"1st: 761 kJ/mol, 2nd: 1500 kJ/mol",170±8 pm,
74,Tungsten,W,"tungsten, W","grayish white, lustrous",74,"group 6, d-block",6,transition metal,183.841,[Xe] 4f14 5d4 6s2,2,,solid,3695,,6203,,17.6,,,,"1st: 770 kJ/mol, 2nd: 1700 kJ/mol",162±7 pm,
75,Rhenium,Re,"rhenium, Re",silvery-grayish,75,"group 7, d-block",6,transition metal,186.2071,[Xe] 4f14 5d5 6s2,2,,solid,3459,,5903,,18.9,,,,"1st: 760 kJ/mol, 2nd: 1260 kJ/mol, 3rd: 2510 kJ/mol, (more)",151±7 pm,
76,Osmium,Os,"osmium, Os","silvery, blue cast",76,"group 8, d-block",6,transition metal,190.233,[Xe] 4f14 5d6 6s2,2,,solid,3306,,5285,,20,,,,"1st: 840 kJ/mol, 2nd: 1600 kJ/mol",144±4 pm,
77,Iridium,Ir,"iridium, Ir",silvery white,77,"group 9, d-block",6,transition metal,192.2173,[Xe] 4f14 5d7 6s2,2,,solid,2719,,4403,,19,,,,"1st: 880 kJ/mol, 2nd: 1600 kJ/mol",141±6 pm,
78,Platinum,Pt,"platinum, Pt",silvery white,78,"group 10, d-block",6,transition metal,195.0849,[Xe] 4f14 5d9 6s1,2,,solid,2041.4,,4098,,19.77,,,,"1st: 870 kJ/mol, 2nd: 1791 kJ/mol",136±5 pm,175
79,Gold,Au,"gold, Au",metallic yellow,79,"group 11, d-block",6,transition metal,196.9665695,[Xe] 4f14 5d10 6s1,2,,solid,1337.33,,3243,,17.31,,,,"1st: 890.1 kJ/mol, 2nd: 1980 kJ/mol",136±6 pm,166
80,Mercury,Hg,"mercury, Hg",silvery,80,"group 12, d-block",6,"transition metal, alternatively considered a post-transition metal",200.5923,[Xe] 4f14 5d10 6s2,2,,liquid,234.321,,629.88,,,,234.3156,1750,"1st: 1007.1 kJ/mol, 2nd: 1810 kJ/mol, 3rd: 3300 kJ/mol",132±5 pm,155
81,Thallium,Tl,"thallium, Tl",silvery white,81,"group 13, p-block",6,post-transition metal,204.38,[Xe] 4f14 5d10 6s2 6p1,2,,solid,577,,1746,,11.22,,,,"1st: 589.4 kJ/mol, 2nd: 1971 kJ/mol, 3rd: 2878 kJ/mol",145±7 pm,196
82,Lead,Pb,"lead, Pb",metallic gray,82,"group 14 (carbon group), p-block",6,post-transition metal,207.21,[Xe] 4f14 5d10 6s2 6p2,2,,solid,600.61,,2022,,10.66,,,,"1st: 715.6 kJ/mol, 2nd: 1450.5 kJ/mol, 3rd: 3081.5 kJ/mol",146±5 pm,202
83,Bismuth,Bi,"bismuth, Bi",lustrous brownish silver,83,"group 15 (pnictogens), p-block",6,post-transition metal,208.980401,[Xe] 4f14 5d10 6s2 6p3,2,,solid,544.7,,1837,,10.05,,,,"1st: 703 kJ/mol, 2nd: 1610 kJ/mol, 3rd: 2466 kJ/mol, (more)",148±4 pm,207
84,Polonium,Po,"polonium, Po",silvery,84,"group 16 (chalcogens), p-block",6,"post-transition metal, but this status is disputed",209,[Xe] 4f14 5d10 6s2 6p4,2,,solid,527,,1235,,,,,,1st: 812.1 kJ/mol,140±4 pm,197
85,Astatine,At,"astatine, At","unknown, probably metallic",85,"group 17 (halogens), p-block",6,"metalloid, sometimes classified as a nonmetal, or a metal",210,[Xe] 4f14 5d10 6s2 6p5,2,,solid,575,,610,,,,,,1st: 899.003 kJ/mol,150,202
86,Radon,Rn,"radon, Rn","colorless gas, occasionally glows green or red in discharge tubes",86,"group 18 (noble gases), p-block",6,noble gas,222,[Xe] 4f14 5d10 6s2 6p6,2,,gas,202,,211.5,9.73,,4.4,,377,1st: 1037 kJ/mol,150,220
87,Francium,Fr,"francium, Fr",,87,"group 1 (alkali metals), s-block",7,alkali metal,223,[Rn] 7s1,2,,solid presumably,"? 300 K (30 °C, 80 °F)",,"? 950 K (680 °C, 1300 °F)",,,,,,1st: 393 kJ/mol,260,348
88,Radium,Ra,"radium, Ra",silvery white metallic,88,"group 2 (alkaline earth metals), s-block",7,alkaline earth metal,226,[Rn] 7s2,2,,solid,973,,2010,,,,,,"1st: 509.3 kJ/mol, 2nd: 979.0 kJ/mol",221±2 pm,283
89,Actinium,Ac,"actinium, Ac","silvery-white, glowing with an eerie blue light; sometimes with a golden cast",89,"group n/a, f-block",7,"actinide, sometimes considered a transition metal",227,[Rn] 6d1 7s2,2,,solid,1500,,"3500±300 K (3200±300 °C, 5800±500 °F) (extrapolated)",,,,,,"1st: 499 kJ/mol, 2nd: 1170 kJ/mol, 3rd: 1900 kJ/mol, (more)",215,
90,Thorium,Th,"thorium, Th","silvery, often with black tarnish",90,"group n/a, f-block",7,actinide,232.03774,[Rn] 6d2 7s2,2,,solid,2023,,5061,,,,,,,206±6 pm,
91,Protactinium,Pa,"protactinium, Pa","bright, silvery metallic luster",91,"group n/a, f-block",7,actinide,231.035882,[Rn] 5f2 6d1 7s2,2,,solid,1841,,4300,,,,,,1st: 568 kJ/mol,200,
